Name;Gewicht ;Datum;Supermarkt;Verpackung;Kisten;Erzeuger;GGN;GLN;Haendler
Bundmoehren;866,5;27.08.2018;Netto rot;Bund;6;NA;NA;4,25E+12;NA
Bundmoehren;834,3;27.08.2018;Netto rot;Bund;6;NA;NA;4,25E+12;NA
Bundmoehren;781,8;27.08.2018;Netto rot;Bund;6;NA;NA;4,25E+12;NA
Lollo Bionda;248,1;29.08.2018;Kaufland;Stueck;9;NA;NA;4,01E+12;BEHR AG Gemueuesegarten
Lollo Bionda;202,7;29.08.2018;Kaufland;Stueck;9;NA;NA;4,01E+12;BEHR AG Gemueuesegarten
Lollo Bionda;253,5;29.08.2018;Kaufland;Stueck;9;NA;NA;4,01E+12;BEHR AG Gemueuesegarten
Lollo Bionda;203,2;29.08.2018;Kaufland;Stueck;9;NA;NA;4,01E+12;BEHR AG Gemueuesegarten
Lollo Bionda;182,4;29.08.2018;Kaufland;Stueck;9;NA;NA;4,01E+12;BEHR AG Gemueuesegarten
Eichblattsalat;210;29.08.2018;Kaufland;Stueck;9;NA;NA;4,01E+12;BEHR AG Gemueuesegarten
Eichblattsalat;189,1;29.08.2018;Kaufland;Stueck;9;NA;NA;4,01E+12;BEHR AG Gemueuesegarten
Eichblattsalat;242,9;29.08.2018;Kaufland;Stueck;9;NA;NA;4,01E+12;BEHR AG Gemueuesegarten
Eichblattsalat;201,3;29.08.2018;Kaufland;Stueck;9;NA;NA;4,01E+12;BEHR AG Gemueuesegarten
Lauchzwiebeln;199,6;29.08.2018;Kaufland;Bund;14;Karsten Groáhans Gemuesebau Reilingen;4,05E+12;NA;Gemueuesering Stuttgart GmbH
Lauchzwiebeln;200,6;29.08.2018;Kaufland;Bund;14;Karsten Groáhans Gemuesebau Reilingen;4,05E+12;NA;Gemueuesering Stuttgart GmbH
Lauchzwiebeln;148,3;29.08.2018;Kaufland;Bund;14;Karsten Groáhans Gemuesebau Reilingen;4,05E+12;NA;Gemueuesering Stuttgart GmbH
Lauchzwiebeln;176,5;29.08.2018;Kaufland;Bund;14;Karsten Groáhans Gemuesebau Reilingen;4,05E+12;NA;Gemueuesering Stuttgart GmbH
Lauchzwiebeln;155,4;29.08.2018;Kaufland;Bund;14;Karsten Groáhans Gemuesebau Reilingen;4,05E+12;NA;Gemueuesering Stuttgart GmbH
Rettich;350;29.08.2018;Kaufland;Stueck;10;Bernd Uhrbach Winsen-Luhe;4,05E+12;4,01E+12;BEHR AG Gemueuesegarten
Rettich;531,8;29.08.2018;Kaufland;Stueck;10;Bernd Uhrbach Winsen-Luhe;4,05E+12;4,01E+12;BEHR AG Gemueuesegarten
Rettich;532,8;29.08.2018;Kaufland;Stueck;10;Bernd Uhrbach Winsen-Luhe;4,05E+12;4,01E+12;BEHR AG Gemueuesegarten
Rettich;606,5;29.08.2018;Kaufland;Stueck;10;Bernd Uhrbach Winsen-Luhe;4,05E+12;4,01E+12;BEHR AG Gemueuesegarten
Rettich;478,2;29.08.2018;Kaufland;Stueck;10;Bernd Uhrbach Winsen-Luhe;4,05E+12;4,01E+12;BEHR AG Gemueuesegarten
Rettich;549,4;28.08.2018;Lidl;Stueck;10;Gemueuesebau Schlosser GbR Schifferstadt;4,05E+12;NA;A. Schlosser Gemueuesehandel
Rettich;642,6;28.08.2018;Lidl;Stueck;10;Gemueuesebau Schlosser GbR Schifferstadt;4,05E+12;NA;A. Schlosser Gemueuesehandel
Rettich;455,7;28.08.2018;Lidl;Stueck;10;Gemueuesebau Schlosser GbR Schifferstadt;4,05E+12;NA;A. Schlosser Gemueuesehandel
